Kundennummer;Name;Straße;PLZ;Ort;Land;Telefon;E-Mail;Notizen
A-0476;95 Tage - Weinbau Familie Eschlböck;Bahnhofstraße 26;4063;Hörsching;AT;+43 699 10643360;weinbau@95tage.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0477;Aichinger;Hilkering 12;4081;Hartkirchen;AT;+43 7273 6050;info@weinblick.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0478;Andreas Kreuzwieser;Erlenstraße 1;4070;Fraham;AT;+43 664 2305263;a.kreuzwieser@meleco.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0479;Andreas und Evamaria Schäfer;Steyrtalstraße 137;4523;Neuzeug;AT;+43 650 7870640;andreas.sa.schaefer@gmail.com;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0480;Antonia Koch;;4100;Ottensheim;AT;;antonia.koch@gmx.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0481;Armin Kienesberger - Biodynamischer Weinbau;Oberschaffenberg 12;4707;Schlüßlberg;AT;+43 699 11144456;armin@kienesberger-wein.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0482;Auer;An der Lauer 4;9313;St. Georgen am Längsee;AT;+43 660 3432077;auer@a-vino.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0483;Champagne J.M. Gobillard & Fils;Nonntaler Hauptstraße 33;5020;Salzburg;AT;+43 664 3001661;gobillard@outlook.com;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0484;Christian;Mehrnbach 149;4941;Mehrnbach;AT;+43 7752 20404;cp@weingutchristian.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0485;Der Manfred & die Seinen;Hochbuchedt 4;4040;Kirchschlag bei Linz;AT;+43 660 3533531;info@weingarten-linz.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0486;Domäne Lilienberg Weinbau GmbH;Am Polzerweg 1;9121;Tainach;AT;+43 4239 20276;info@lilienberg.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0487;Dorfinger;Oberwang 115;4882;Oberwang;AT;+43 664 4582518;jakob.dorfinger@icloud.com;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0488;Druzina Hren;Weinberg 45;9133;Sittersdorf;AT;+43 4237 2456;;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0489;Firlingerhof;Rexham 27;4612;Scharten;AT;+43 664 3421840;info@firlingerhof.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0490;Flür Alexandra und Georg;Kappenzipfl 12b;6464;Tarrenz;AT;+43 650 9260334;info@weingut-fluer.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0491;Franz Wechselberger;Merans 46;6115;Kolsassberg;AT;+43 676 6444012;franzwex1@gmail.com;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0492;Fuchs;Ohnerstorf 16;4152;Sarleinsbach;AT;+43 650 5343292;fuchs.philipp@hotmail.com;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0493;Gass;Hauptstraße 13;2054;Alberndorf im Pulkautal;AT;+43 2944 260909;thomas@gass.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0494;Gaumberger Gut;Daffingerstraße 35;4060;Leonding;AT;+43 664 5188177;waltraud.p@gmx.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0495;Georgium;Längseestraße 9;9313;St. Georgen am Längsee;AT;+43 650 2241234;office@georgium.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0496;Gerstmayr;Hainbach 4;4493;Wolfern;AT;+43 660 6588988;office@gerstmayrgut.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0497;Glanegg;Schwambach 31;9555;Glanegg;AT;+43 664 6179898;winzer@burg-wein-lassnig.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0498;Leo Gmeiner;Weinzierl 8/2;4320;Perg;AT;+43 699 11726457;info@weinbau-gmeiner.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0499;Grafenbergerin;Außerfragant 97;9831;Flattach;AT;+43 676 6877554;info@grafenbergerin.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0500;Stephan und Andrea Greindl;Holzleiten 16b;4331;Naarn;AT;+43 664 8376676;office@weingutgreindl.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0501;Hagenauer;Dürnberg 21;4100;Ottensheim;AT;+43 664 1604228;hagenauer-wein@gmx.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0502;Harringer;Oberkriech 38;4845;Regau;AT;+43 676 847810685;weinbau.harringer@gmx.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0503;Heinz Aichmayer;Schulstraße 1;4632;Pichl bei Wels;AT;+43 664 1633616;ah@aichmayr.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0504;Hohl Franz;Römerstr. 1;4880;Berg im Attergau;AT;;hohl.weinbau@gmx.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0505;Hribernig;Wutschein 9;9064;Pischeldorf;AT;+43 664 5461201;adolf.hribernig@aon.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0506;Hudelist;Terndorfer Straße 18;9020;Klagenfurt am Wörthersee;AT;+43 664 5695371;office@weingut-hudelist.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0507;Vinum Carantanum Weinbau Jöbstl;Magersdorf 14 a;9433;St. Andrä;AT;+43 650 4323826;w.joebstl@gmx.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0508;Karnburg-Sem Kegley & Georg Lexer;Leiten 6;9063;Klagenfurt am Wörthersee;AT;+43 676 3504220;info@weingut-karnburg.eu;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0509;Kegley & Lexer Wein GmbH;Leiten 6;9063;Klagenfurt am Wörthersee;AT;;georg@alpenspirit.eu;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0510;Klaus Bauer;Distelberg 2;4492;Hofkirchen im Traunkreis;AT;+43 664 1303539;office@pension-linz.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0511;Kreuzschneider;St. Sebastian 24;9314;Launsdorf;AT;+43 660 4631548;bodner.johannes@gmx.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0512;Kriegner;Halfingerweg 2;4134;Putzleinsdorf;AT;+43 660 7452310;kriegner.erika@aon.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0513;Kronbergerhof;Kronberg 3;4612;Scharten;AT;+43 664 5353376;info@kronbergerhof.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
